Record start time	t (s)	Thermistor (degC)	P_atmos (Pa)	Rel. Humidity (%)	Density (kg/m^3)	Dew point (degC)	Pressure alt. (m)	Density alt. (m)	Env. sensor temp. (degC)	w_x (dps)	w_y (dps)	w_z (dps)	a_x (g)	a_y (g)	a_z (g)	Inl. sensor temp. (degC)	Stale sample
																	
15/03/2022 01:49:44	0.000000	21.7834	101228.9453	24.4434	1.1928	0.5885	8.0005	276.2292	29.3000	0.0556	-0.0218	-0.0248	0.0019	-0.0102	1.0030	28.1172	0
15/03/2022 01:49:44	1.000000	21.8525	101228.5937	24.3828	1.1925	0.6126	8.0297	278.7343	29.3000	0.0251	-0.0142	-0.0248	0.0015	-0.0108	1.0031	28.1777	0
15/03/2022 01:49:44	2.000000	21.8727	101227.7344	24.3955	1.1924	0.6368	8.1013	279.5731	29.3000	0.0518	-0.0256	-0.0210	0.0014	-0.0101	1.0030	28.1738	0
15/03/2022 01:49:44	3.000000	21.8877	101228.4219	24.4189	1.1924	0.6628	8.0441	280.0775	29.3000	0.0479	-0.0294	-0.0286	0.0019	-0.0100	1.0022	28.1484	0
15/03/2022 01:49:44	4.000000	21.8902	101227.9062	24.3594	1.1924	0.6312	8.0870	280.1611	29.3000	0.0327	-0.0332	-0.0172	0.0022	-0.0097	1.0027	28.1406	0
15/03/2022 01:49:44	5.000000	21.8789	101228.7656	24.4551	1.1924	0.6759	8.0154	279.7571	29.3000	0.0289	-0.0332	-0.0324	0.0015	-0.0104	1.0031	28.1777	0
15/03/2022 01:49:44	6.000000	21.8374	101227.7344	24.4307	1.1926	0.6270	8.1013	278.3190	29.3000	0.0365	-0.0180	-0.0362	0.0018	-0.0108	1.0035	28.1172	0
15/03/2022 01:49:44	7.000000	21.7595	101228.4219	24.4434	1.1929	0.5683	8.0441	275.4097	29.3000	0.0403	-0.0256	-0.0401	0.0018	-0.0101	1.0029	28.1328	0
15/03/2022 01:49:44	8.000000	21.7193	101227.9062	24.3955	1.1931	0.5073	8.0870	273.9416	29.3000	0.0136	-0.0294	-0.0362	0.0014	-0.0096	1.0029	28.1387	0
15/03/2022 01:49:44	9.000000	21.6037	101229.3594	24.4551	1.1936	0.4433	7.9660	269.6212	29.3100	0.0251	-0.0256	-0.0324	0.0019	-0.0101	1.0019	28.1719	0
15/03/2022 01:49:44	10.000000	21.6100	101230.5625	24.4199	1.1936	0.4287	7.8657	269.6917	29.3100	0.0289	-0.0294	-0.0515	0.0015	-0.0102	1.0024	28.1797	0
15/03/2022 01:49:44	11.000000	21.6087	101230.3906	24.3955	1.1936	0.4139	7.8801	269.6387	29.3100	0.0365	-0.0065	-0.0324	0.0022	-0.0105	1.0028	28.1465	0
15/03/2022 01:49:44	12.000000	21.5786	101231.0781	24.4434	1.1937	0.4154	7.8228	268.5117	29.3100	0.0365	-0.0218	-0.0286	0.0016	-0.0106	1.0032	28.1465	0
15/03/2022 01:49:44	13.000000	21.5685	101230.7344	24.4434	1.1937	0.4070	7.8514	268.1801	29.3100	0.0327	-0.0218	-0.0515	0.0015	-0.0098	1.0035	28.1504	0
15/03/2022 01:49:44	14.000000	21.5158	101231.4219	24.4316	1.1940	0.3558	7.7941	266.1661	29.3100	0.0251	-0.0180	-0.0248	0.0018	-0.0103	1.0026	28.1289	0
15/03/2022 01:49:44	15.000000	21.5284	101231.2500	24.4551	1.1939	0.3796	7.8085	266.6661	29.3100	0.0518	-0.0256	-0.0324	0.0019	-0.0098	1.0026	28.2109	0
15/03/2022 01:49:44	16.000000	21.4731	101231.1406	24.4199	1.1942	0.3130	7.8176	264.6189	29.3100	0.0365	-0.0218	-0.0324	0.0014	-0.0102	1.0025	28.1523	0
15/03/2022 01:49:44	17.000000	21.5095	101230.2812	24.4551	1.1940	0.3637	7.8892	266.0763	29.3100	0.0022	-0.0104	-0.0362	0.0017	-0.0107	1.0034	28.1914	0
15/03/2022 01:49:44	18.000000	21.4995	101230.2812	24.4072	1.1940	0.3282	7.8892	265.6612	29.3100	0.0403	-0.0218	-0.0439	0.0017	-0.0101	1.0035	28.1289	0
15/03/2022 01:49:44	19.000000	21.4605	101229.7031	24.3955	1.1942	0.2886	7.9373	264.2822	29.3100	0.0518	-0.0218	-0.0362	0.0012	-0.0104	1.0019	28.1543	0
15/03/2022 01:49:44	20.000000	21.4819	101229.5234	24.4199	1.1941	0.3205	7.9523	265.1064	29.3100	0.0403	-0.0104	-0.0172	0.0018	-0.0099	1.0022	28.1406	0
15/03/2022 01:49:44	21.000000	21.4543	101229.1797	24.4072	1.1942	0.2899	7.9809	264.1175	29.3100	0.0556	-0.0218	-0.0591	0.0022	-0.0102	1.0024	28.1660	0
15/03/2022 01:49:44	22.000000	21.4894	101229.8750	24.4678	1.1941	0.3539	7.9230	265.3935	29.3100	0.0174	-0.0256	-0.0477	0.0014	-0.0104	1.0033	28.1504	0
15/03/2022 01:49:44	23.000000	21.5146	101230.1094	24.4551	1.1940	0.3679	7.9035	266.2779	29.3100	0.0365	-0.0142	-0.0477	0.0011	-0.0101	1.0031	28.1426	0
15/03/2022 01:49:44	24.000000	21.5020	101231.0312	24.4678	1.1940	0.3645	7.8267	265.7353	29.3100	0.0327	-0.0142	-0.0401	0.0013	-0.0104	1.0037	28.1602	0
15/03/2022 01:49:44	25.000000	21.5007	101230.9687	24.4072	1.1940	0.3292	7.8319	265.6358	29.3200	0.0289	-0.0218	-0.0286	0.0019	-0.0101	1.0029	28.1367	0
15/03/2022 01:49:44	26.000000	21.5233	101230.6172	24.4316	1.1939	0.3621	7.8612	266.5244	29.3200	0.0403	-0.0294	-0.0477	0.0016	-0.0096	1.0018	28.1816	0
15/03/2022 01:49:44	27.000000	21.4806	101229.4062	24.4678	1.1941	0.3464	7.9621	265.1194	29.3200	0.0441	-0.0256	-0.0362	0.0015	-0.0102	1.0024	28.1719	0
15/03/2022 01:49:44	28.000000	21.4618	101229.9922	24.4434	1.1942	0.3167	7.9132	264.3458	29.3200	0.0365	-0.0294	-0.0362	0.0012	-0.0099	1.0034	28.1406	0
15/03/2022 01:49:44	29.000000	21.4643	101229.8281	24.4434	1.1942	0.3189	7.9269	264.4556	29.3200	0.0327	-0.0180	-0.0401	0.0011	-0.0101	1.0030	28.1680	0
15/03/2022 01:49:44	30.000000	21.4919	101230.1641	24.4434	1.1941	0.3422	7.8989	265.4324	29.3200	0.0327	-0.0027	-0.0248	0.0015	-0.0099	1.0029	28.1719	0
15/03/2022 01:49:44	31.000000	21.4982	101229.0625	24.4434	1.1940	0.3475	7.9907	265.7751	29.3200	0.0365	-0.0294	-0.0439	0.0016	-0.0099	1.0028	28.1602	0
15/03/2022 01:49:44	32.000000	21.5158	101228.7187	24.4551	1.1939	0.3690	8.0193	266.4661	29.3200	0.0289	-0.0027	-0.0477	0.0015	-0.0099	1.0029	28.1758	0
15/03/2022 01:49:44	33.000000	21.5422	101229.9922	24.4199	1.1939	0.3714	7.9132	267.2665	29.3200	0.0327	-0.0332	-0.0210	0.0018	-0.0101	1.0026	28.1406	0
15/03/2022 01:49:44	34.000000	21.6012	101229.6484	24.4316	1.1936	0.4279	7.9419	269.4750	29.3200	0.0174	-0.0142	-0.0324	0.0018	-0.0099	1.0022	28.1367	0
15/03/2022 01:49:44	35.000000	21.6263	101229.5391	24.4561	1.1935	0.4629	7.9510	270.4305	29.3200	0.0251	-0.0294	-0.0248	0.0016	-0.0101	1.0034	28.1406	0
15/03/2022 01:49:44	36.000000	21.6979	101229.0234	24.4443	1.1932	0.5169	7.9940	273.0940	29.3200	0.0212	-0.0294	-0.0286	0.0016	-0.0100	1.0021	28.1582	0
15/03/2022 01:49:44	37.000000	21.7846	101229.2031	24.4443	1.1928	0.5901	7.9790	276.2499	29.3200	0.0365	-0.0332	-0.0401	0.0018	-0.0098	1.0024	28.1895	0
15/03/2022 01:49:44	38.000000	21.7922	101229.0234	24.4199	1.1928	0.5827	7.9940	276.5204	29.3200	0.0098	-0.0218	-0.0324	0.0015	-0.0101	1.0029	28.1602	0
15/03/2022 01:49:44	39.000000	21.8136	101228.5781	24.4316	1.1927	0.6074	8.0310	277.3599	29.3200	0.0632	-0.0409	-0.0248	0.0019	-0.0098	1.0026	28.1621	0
15/03/2022 01:49:44	40.000000	21.8450	101227.8828	24.4678	1.1925	0.6544	8.0890	278.6179	29.3200	0.0365	-0.0371	-0.0401	0.0018	-0.0102	1.0028	28.2051	0
15/03/2022 01:49:44	41.000000	21.8374	101228.8125	24.4082	1.1926	0.6143	8.0115	278.1863	29.3300	0.0403	-0.0332	-0.0401	0.0016	-0.0101	1.0027	28.1523	0
15/03/2022 01:49:44	42.000000	21.8349	101229.0937	24.4443	1.1926	0.6326	7.9881	278.1009	29.3200	-0.0055	-0.0371	-0.0439	0.0013	-0.0104	1.0029	28.1562	0
